id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1147	bleeding	-0.2543	-0.4202	2	12	14	6	2013.5	10.3333	1.2672
1235	botulinum toxin type a	0.3818	0.7129	6	5	7	5	2014.8	3.4	0.4195
1248	bowel function	1.0763	-0.204	12	19	44	14	2016.2857	4	1.6044
1254	bowel lengthening	1.4024	0.9193	10	8	35	11	2014.5455	10.4545	1.4343
1257	bowel management	1.0195	0.1188	12	14	46	20	2014.45	8.4	1.0998
1261	bowel obstruction	0.1546	0.1092	3	9	9	6	2011.5	6.3333	0.6463
1262	bowel perforation	0.6219	0.2121	10	6	7	7	2011.7143	13.5714	1.3707
1265	bowel resection	0.1655	-0.0449	15	20	25	9	2015.4444	7.2222	1.3316
1273	bracing	-1.1846	0.004	1	6	13	8	2016	6.5	1.3181
1294	breast	-0.0843	-1.0025	8	5	5	5	2013.2	4.4	0.4382
1299	breast mass	-0.1539	-1.0245	8	6	7	5	2014	4.2	0.6423
1332	bronchoscopy	-0.5006	0.6832	5	18	34	22	2013.9545	7.6818	0.9803
1355	burn	0.172	0.2257	7	12	12	13	2012.6923	5.6923	0.6135
1378	c-kit	1.452	0.0787	12	6	7	5	2013.8	2	0.3078
1382	c-reactive protein	-0.3671	0.2674	3	7	9	7	2015	6.7143	1.0236
1418	calretinin	1.2883	-0.0394	12	6	14	7	2015.2857	6.7143	0.801
1457	carbon dioxide	-0.5909	-0.4255	9	13	15	8	2011.5	13.625	1.2535
1470	cardiac anomalies	0.8494	-0.2652	16	10	11	5	2015.8	1.2	0.1486
1543	catheter	-0.2675	0.4384	3	22	31	15	2014.6667	10.4	1.4519
1577	caustic ingestion	-0.3606	1.1453	5	5	5	7	2014.8571	5.7143	0.9225
1605	cdh	0.0335	0.3553	17	136	640	403	2013.9429	9.6377	1.3322
1620	cecostomy	0.6254	0.0644	12	11	19	10	2015.2	5.3	0.6662
1653	central line	-0.2505	0.8047	5	3	4	5	2013.6	5.6	0.6463
1662	central venous catheter	-0.1991	0.6468	5	20	37	27	2013.8889	14.1481	1.9556
1676	centralization	-0.0218	-0.8236	14	9	11	7	2015.2857	7.7143	1.062
1686	cervical	-0.4421	0.3673	3	8	9	5	2011.4	8.2	0.8027
1733	chemotherapy	-0.2568	0.2299	7	15	30	23	2013.7391	5	0.7329
1748	chest wall	-0.7019	0.0215	1	30	57	31	2014.3548	6.871	1.3383
1765	chick embryo	1.0337	-0.2777	12	3	8	12	2012.4167	2.1667	0.2312
1768	child abuse	-0.5963	-0.9219	2	8	20	15	2015.8	4.7333	0.7739
1822	cholangitis	-0.7073	-0.4347	9	12	24	15	2014.5333	5.9333	0.9731
1823	cholecystectomy	-0.8002	0.2034	11	16	36	19	2013.6316	15	1.4992
1830	choledochal cyst	-0.5333	-0.1166	9	40	82	68	2013.0735	9.1618	1.1796
1838	cholestasis	0.3351	0.1811	10	33	55	24	2012.4583	13.7083	1.5212
1880	chronic pancreatitis	-1.0399	-0.2866	9	2	3	8	2013.625	4.375	0.4932
1893	chylothorax	0.378	-0.02	11	25	39	23	2013.2609	5.2174	0.8379
1908	circumcision	0.2736	-0.498	14	11	12	18	2014.4444	7.1667	0.8772
1917	citrulline	0.6999	0.7608	11	8	13	5	2015.4	5	0.6195
1922	classification	-0.2952	-0.4688	2	11	11	6	2015.6667	3.5	0.7111
1968	cloaca	0.631	-0.8654	8	29	61	33	2013.697	5.0909	0.6671
1973	cloacal exstrophy	0.4676	-0.6307	16	17	21	18	2014.7222	3.6667	0.6188
2000	coagulopathy	-0.596	-1.1284	9	2	2	6	2015	6.3333	0.6861
2015	colectomy	0.1446	-0.3445	15	24	31	12	2014.5	6.9167	0.9093
2016	colitis	0.4438	-0.4012	15	13	16	8	2013.75	7.125	0.9484
2038	colon	0.4201	0.3229	11	27	34	15	2012	7.4667	0.7209
2045	colon interposition	0.0899	1.2673	6	11	15	8	2014.75	7.625	1.645
2051	colonic atresia	0.1385	0.6528	6	9	10	5	2010	2.6	0.2255
2082	colorectal surgery	-0.3975	0.3927	6	11	14	10	2016.9	5	3.178
2084	colostomy	0.3718	-0.4587	15	24	34	16	2013.6875	5.4375	0.5966
2090	colovaginoplasty	0.9626	-1.0881	8	5	9	5	2012.8	5.8	0.6891
2096	common bile duct	-0.4303	0.1685	11	6	7	6	2013.1667	4.1667	0.436
2107	communication	-0.4825	0.3887	1	6	6	5	2015.4	3.2	0.6098
2152	complication	-0.2745	-0.1578	18	163	339	195	2013.8205	8.2051	1.1504
2189	congenital	0.0424	0.0899	3	32	46	31	2013.3548	6.871	0.9365
2195	congenital adrenal hyperplasia	0.4128	-1.0001	8	7	9	7	2014.7143	8.1429	2.4563
2199	congenital anomalies	0.1184	-0.321	16	42	57	23	2013.4783	12.4348	1.5086
2205	congenital biliary dilatation	-0.7353	-0.2942	9	10	11	5	2015	2.8	0.2698
2244	congenital esophageal stenosis	-0.2711	0.9595	5	7	8	5	2013.2	9.8	0.9463
2256	congenital heart disease	0.4275	-0.1606	16	33	46	24	2015.0833	7.1667	1.1225
2263	congenital hyperinsulinism	-1.0616	-0.4589	9	1	7	7	2013.8571	10.4286	1.1231
2314	congenital tracheal stenosis	-0.6264	0.6105	5	9	12	13	2015.2308	4.4615	0.7481
2327	conjoined twins	-0.3626	-0.5169	2	6	6	7	2012.8571	3.4286	0.4531
2340	conservative management	-0.7588	-0.1366	1	24	28	21	2014.3333	9.8571	1.483
2344	constipation	0.9088	0.0261	12	48	142	81	2013.9012	8.0494	1.2627
2350	continence	0.6179	-0.5239	15	19	28	11	2014.7273	10.2727	2.1542
2428	cost analysis	-0.5916	-0.534	2	48	96	42	2014.619	10.381	1.3929
2438	costal cartilage	-1.0945	0.2984	1	4	7	6	2012.5	9	0.9359
2455	cpam	-0.2238	0.4246	3	71	155	98	2014.4592	9.5204	1.3886
2476	critical care	-0.4101	-0.072	17	11	15	8	2015.5	3	0.9391
2497	cryptorchidism	0.4232	-0.6023	4	42	100	58	2014.1897	9.2241	1.2536
2501	ct	-0.671	-0.1098	13	46	110	62	2013.1452	8.7419	1.0196
2562	cystic fibrosis	0.4571	0.3383	10	12	18	10	2013.8	9.7	1.139
2565	cystic hygroma	-0.002	0.0825	3	7	12	6	2011.1667	10.1667	1.1054
2592	cytokines	-0.3816	-0.3783	9	8	9	8	2013.125	4.5	0.5964
2717	dermoid cyst	-0.9031	0.6435	1	5	6	5	2012.4	2.2	0.1988
2731	developing country	0.0993	-0.7864	2	9	10	6	2015.1667	4.8333	0.698
2733	development	0.326	-0.4259	8	20	21	9	2014.5556	3.5556	0.5102
2765	diagnosis	-0.0096	0.21	3	50	70	45	2013.8667	8.8	1.1145
2773	diagnostic imaging	-0.432	-0.1241	13	10	16	7	2015.2857	8.1429	1.2119
2785	diaphragm	0.1862	0.7026	7	23	49	25	2015.12	3.44	0.5289
2873	disorders of sex development	0.4272	-0.9864	8	8	9	5	2016.2	3.8	0.5589
2878	disparities	-0.1	-0.6576	2	8	10	8	2014.75	20.125	2.3983
2898	distraction enterogenesis	1.3646	0.9869	10	7	40	14	2014.4286	9.7143	1.4667
2957	down syndrome	0.5325	-0.4433	16	19	24	15	2012.6	6.6	0.6789
2963	drainage	-0.6862	0.3897	1	15	22	10	2012.6	12.1	1.276
2991	duodenal atresia	0.4873	0.0451	16	28	38	22	2012.5909	6.4091	0.7397
2997	duodenal obstruction	0.6302	-0.0359	16	10	13	8	2014	3.5	0.4417
3022	duplication cyst	-0.3428	0.0664	3	15	16	8	2011.5	9.875	0.9059
3044	dysmotility	1.1088	0.5889	10	8	11	5	2010.6	12.6	1.2523
3046	dysphagia	-0.2815	1.2516	5	9	15	9	2015.8889	5.4444	1.0149
3088	echocardiography	0.7409	-0.0919	16	13	15	7	2012	6.5714	0.7796
3093	ecmo	-0.3965	0.1912	17	67	213	106	2014.5755	11.8208	1.6353
3125	education	-0.5121	-0.4571	1	8	15	13	2015.3846	6.2308	0.9144
3174	embolization	-0.1901	-0.1325	2	8	10	8	2012	7.875	0.786
3175	embryology	0.5789	-0.4675	16	21	30	16	2012.0625	6.125	0.6264
3183	emergency	-0.2118	-0.4948	15	7	8	5	2013.8	6.6	0.7164
3205	empyema	-0.7927	0.6631	3	8	12	11	2013.3636	11.2727	1.3458
3267	endoscopic treatment	-0.467	0.4627	1	49	78	43	2014.0233	5.7674	0.8286
3291	endovascular	-1.0147	-0.5449	9	5	6	6	2013.5	4.1667	0.4597
3296	enema	0.8606	0.1544	12	23	39	18	2014.2222	5.6111	0.7473
3305	enhanced recovery after surgery	-0.3322	0.4464	6	10	11	7	2016.8571	6.8571	1.4276
3317	enteral feeding	0.3307	0.474	10	17	25	11	2015	7.2727	1.2929
3331	enteric nervous system	1.3493	0.0078	12	24	49	34	2013.7941	4.4118	0.547
3337	enteric neural crest-derived cell	1.5886	0.0033	12	2	8	5	2016.6	1.8	0.6486
3342	enterocolitis	0.734	-0.1556	12	29	63	31	2013.2903	12	2.2593
3358	enterostomy	0.2048	0.1834	15	18	19	6	2014.6667	6.6667	0.7562
3376	epidemiology	-0.034	-0.4426	4	33	55	28	2014.5714	14.0357	1.6169
3390	epidural	-0.8265	0.3883	1	13	20	9	2013.5556	12.5556	1.5667
3423	ercp	-0.9408	-0.1956	9	13	19	18	2013.2222	9	1.0231
3441	esophageal atresia	-0.0992	0.8057	6	111	420	233	2014.5279	8.7597	1.5132
3467	esophageal lengthening	0.1867	1.1133	6	4	13	7	2014.2857	4.1429	0.6763
3471	esophageal motility	-0.193	1.2666	5	4	6	5	2014.2	4.6	0.4955
3478	esophageal replacement	0.0361	1.3083	6	17	36	19	2013.4737	16.1579	1.8273
3482	esophageal stenosis	-0.3052	1.015	5	13	22	19	2012.7368	10.5789	1.2065
3492	esophagitis	-0.3057	1.2264	5	7	8	5	2014.8	5.4	0.8043
3504	esophagus	0.0703	0.4257	7	33	46	26	2012.9231	5.4231	0.5906
3530	etiology	0.4404	-0.2129	16	18	21	14	2014	8.8571	1.1841
3549	evidence-based medicine	-0.9363	0.3149	1	6	9	7	2013	11.2857	1.1625
3553	ewing sarcoma	-0.3561	0.1905	7	16	18	12	2013.25	7.8333	0.9148
3558	ex utero intrapartum treatment	-0.0877	0.5309	3	9	13	8	2012.875	11.5	1.5456
3574	exomphalos	0.7329	-0.2643	12	48	104	63	2013.2381	8.0794	1.0469
3647	extrahepatic portal hypertension	-0.847	-0.445	9	4	4	6	2013	6.1667	0.6614
3649	extrahepatic portal vein obstruction	-0.7927	-0.4591	9	2	5	8	2013.5	5.5	0.53
3671	extremely low birth weight	0.0203	0.5336	6	19	22	10	2016	4.6	0.5897
3683	exıt	-0.0723	0.3751	3	12	17	9	2012.6667	16.4444	1.7567
3708	failure to thrive	-0.399	0.7927	15	7	9	5	2014.8	11	1.3943
3716	familial	0.66	-0.1396	16	11	20	12	2013.8333	4.6667	1.1737
3717	familial adenomatous polyposis	0.043	-0.5845	15	4	7	5	2013.2	15.8	2.1066
3748	feasibility	-1.1191	0.0089	1	6	6	6	2014.6667	3.1667	2.0434
3759	feeding	0.2737	0.6366	6	14	19	9	2015	4.6667	1.0041
3774	female	0.2384	-0.9488	8	11	12	6	2011.8333	10	0.9198
3790	fertility	-0.0897	-0.7707	4	18	32	16	2014.4375	13.25	1.42
3796	fetal	0.4794	0.1846	7	38	66	25	2013.08	9.68	1.2407
3834	fetal mrı	0.5014	-0.1448	3	14	19	8	2014.25	10.375	1.4703
3849	fetal stem cells	0.9674	0.4498	7	7	17	5	2017.4	2.6	0.9404
3851	fetal surgery	0.6061	0.329	7	42	133	57	2013.8246	12.7193	1.5679
3901	fibrosis	0.4671	0.6732	6	7	8	5	2014.8	3.8	0.7732
3930	fistula	0.0623	0.0414	3	20	25	13	2012.8462	10.3846	1.7252
3932	fistula in ano	1.0516	-0.561	8	7	12	5	2015.4	4	0.5929
3934	fistula-in-ano	-0.859	0.3278	1	4	9	5	2012.2	8.6	0.8044
3946	flaps	0.1663	-1.0235	8	6	17	5	2012.4	7.4	0.8217
3968	fluoroscopy	-0.2387	0.7828	5	10	11	9	2016.3333	5	1.8074
3996	follow-up	-0.4369	-0.3433	13	39	58	31	2014.8387	10.871	1.3615
4014	foregut	-0.2258	0.4997	1	10	13	7	2012	3.8571	0.3507
4020	foreign body	0.1108	0.5407	11	14	16	14	2013.8571	6.9286	1.0931
4091	functional outcome	0.901	-0.4794	12	9	13	6	2014.6667	11.3333	1.741
4099	fundoplication	-0.1555	0.9177	5	43	115	55	2013.6727	7.9818	1.0121
4122	gallbladder	-0.033	-0.0557	7	5	6	7	2013.4286	8.1429	1.0219
4136	gallstones	-0.8128	0.151	11	11	17	10	2015.3	5.8	1.0147
4143	ganglioneuroma	0.4443	0.8243	4	4	8	8	2012	6.875	0.7061
4166	gastric emptying	-0.1651	1.2073	5	9	14	8	2013	9.125	0.8763
4176	gastric outlet obstruction	-0.3894	1.0253	5	6	7	8	2012.375	3.5	0.3072
4180	gastric pull-up	0.1305	1.4019	6	6	11	6	2014.1667	5	0.6044
4185	gastric transposition	0.0929	1.4055	6	8	13	5	2014	12.6	1.5497
4186	gastric tube	0.074	1.3112	6	6	11	5	2015.2	8	1.4635
4208	gastroesophageal reflux	-0.076	1.0016	5	53	141	73	2013.4247	9.5479	1.1685
4215	gastrointestinal	0.0567	-0.0363	2	20	24	19	2014	4.5789	0.783
4253	gastroschisis	0.2304	-0.2054	14	108	318	164	2013.9939	9.3598	1.3135
4256	gastrostomy	-0.2709	0.6408	5	31	67	40	2014.95	7.525	1.0329
4271	gender	0.0358	-0.7125	2	9	10	7	2015.4286	9.7143	1.3498
4293	general surgery	-0.2527	-0.8231	14	8	8	6	2015.5	7.8333	0.8766
4311	genetics	0.702	-0.3057	16	25	49	30	2013.8	8.5333	1.3312
4321	genitofemoral nerve	0.5444	-0.7948	4	7	11	5	2013.2	8.8	1.1723
4336	gerd	-0.186	1.0412	5	19	31	16	2014.4375	6.125	1.002
4340	germ cell tumor	0.1326	-0.2667	2	6	12	11	2014.7273	4.4545	0.522
4343	germ cells	0.4516	-0.8098	4	6	10	5	2016.4	10.4	2.2071
4345	gestational age	0.3898	0.4069	10	10	15	7	2015.1429	9	1.5384
4350	ghrelin	0.8477	0.2496	10	7	8	5	2016	2.6	0.4479
4375	global health	-0.3007	-0.6374	2	9	10	10	2014.9	13.9	3.7239
4378	global surgery	-0.2008	-0.6154	2	21	26	26	2016.5769	5	2.01
4458	growth	0.0095	-0.1389	15	39	50	24	2014.0833	10.7917	1.193
4474	gubernaculum	0.5468	-0.6802	4	14	38	18	2012.7222	10.1111	1.1138
4478	guideline	-0.812	0.0612	1	13	18	12	2015.0833	4.9167	0.7855
4494	gynecomastia	-0.1162	-1.0299	8	4	5	6	2011.8333	6.8333	0.6952
4576	health resources	-1.0266	0.1033	17	8	9	5	2016.2	4.6	0.9016
4581	health-related quality of life	-1.0272	-0.0033	1	11	12	8	2015.625	8.5	1.1571
4619	hemangioma	-0.2955	0.3187	11	16	17	14	2012.2857	9.5	0.9842
4659	hemorrhage	-0.5658	-0.2393	17	12	13	6	2015.8333	3.8333	0.5556
4671	hepatectomy	-0.6849	0.4413	5	5	5	6	2014.1667	6.1667	0.7506
4688	hepatic fibrosis	0.856	0.3522	10	8	12	7	2013.4286	8.5714	1.1626
4716	hepaticoduodenostomy	-0.781	-0.3075	9	5	12	5	2013.2	20	2.061
4717	hepaticojejunostomy	-0.6983	-0.3111	9	8	23	12	2013.25	14.3333	1.5854
4747	hernia	-0.3809	-0.5788	14	35	70	40	2013.55	8.475	0.9585
4825	hirschsprung's disease	0.9381	-0.0952	12	111	474	295	2014.4881	6.4339	1.1391
4852	histopathology	0.228	-0.388	2	27	35	18	2013.6111	4.4444	0.5208
4853	history	0.0302	-0.836	14	5	5	6	2014.5	2.8333	0.6163
4944	hydatid cyst	-1.0193	0.1629	1	6	8	7	2011.4286	4	0.3962
4949	hydrocele	-0.2635	-0.742	4	9	11	8	2013	9.75	1.0462
4951	hydrocephalus	0.2218	-0.5327	4	11	12	8	2012.5	9	1.1413
4956	hydrocolpos	0.7525	-1.0576	8	6	8	5	2014	9.4	1.0303
4967	hydronephrosis	-0.4602	0.2378	13	18	36	18	2012.3889	6.8333	0.7427
4968	hydrops fetalis	-0.0051	0.4088	3	13	22	13	2012.8462	16.8462	1.8918
4969	hydrosalpinx	-0.3156	-0.723	4	3	5	5	2013.6	9.4	1.0274
4972	hydrostatic reduction	-0.3155	-0.4224	13	6	10	5	2014.2	5.4	3.3707
5012	hypertrophic pyloric stenosis	-0.5868	0.1235	1	17	26	17	2014.4706	7.4118	0.8928
5024	hypoplastic lung	0.1398	0.9319	17	4	13	13	2010.5385	7.6923	0.6994
5026	hypospadias	0.1829	-0.8066	8	37	80	52	2013.9038	6.4231	0.9809
5038	hypoxia	0.5814	0.8048	6	10	12	6	2013.8333	9.6667	1.3423
5079	incontinence	0.9271	-0.176	12	44	154	80	2013.9875	8.4	1.176
5084	infant	0.0116	-0.2312	2	8	8	5	2014.8	4.2	1.4369
5088	infection	-0.1758	0.1301	6	24	45	25	2015.88	6.92	1.8818
5091	inflammatory bowel disease	0.0967	-0.2517	15	18	34	24	2014.9583	6.5	1.3828
5097	inguinal hernia	-0.4658	-0.583	2	22	34	23	2014.7391	4.087	0.9851
5131	intestinal failure	0.0699	-0.3352	2	6	10	6	2017.5	4.3333	2.0456
5176	jaundice	-0.4548	-0.21	9	13	26	14	2011.3571	4.2857	0.3918
5191	jejunostomy	0.2468	0.2959	15	17	18	8	2015.125	3.25	0.7578
5239	kidney	-0.2886	0.1287	13	43	83	60	2013.0333	5.95	0.7799
5251	kidney transplantation	0.2753	0.5257	11	5	6	5	2013	6.8	0.8734
5257	kids' ınpatient database	-0.0689	0.0322	15	23	24	7	2013.7143	16.5714	2.0544
5327	laparoscopic cholecystectomy	-0.9165	0.0739	11	8	11	10	2013.1	9.9	1.2549
5342	laparoscopic hernia repair	-0.5328	-0.7704	2	2	2	5	2012.8	14.2	1.4593
5356	laparoscopic pyloromyotomy	-0.5317	0.055	1	10	12	5	2013.4	12.6	1.8952
5388	laparoscopy	-0.1584	-0.0334	1	180	619	371	2013.3154	8.4016	1.0842
5398	laparotomy	-0.0756	-0.1917	15	27	36	12	2014.1667	8.25	1.996
5461	learning curve	-0.7245	0.0592	1	9	11	5	2015.4	7.2	1.037
5487	length of stay	-0.3828	0.0324	2	41	72	25	2015.44	5.32	0.9424
5548	lipoblastoma	-1.1473	-0.1699	13	2	2	7	2011.2857	6.1429	0.6036
5551	lipoma	-0.9132	0.6304	1	5	5	5	2010.6	6.6	0.5757
5568	liver	0.1097	0.1184	16	44	67	40	2013.025	8.8	1.0262
5583	liver fibrosis	0.1	-0.0852	9	17	36	19	2014.8421	7.6316	0.843
5600	liver transplant	-0.3649	-0.1796	9	38	83	78	2013.9231	7.2051	0.9329
5603	liver tumor	-0.6601	0.4853	5	4	5	6	2013.8333	6.1667	0.7275
5615	lobectomy	-0.5708	0.3306	17	5	7	7	2014.4286	8.5714	0.9386
5640	long gap esophageal atresia	0.1035	0.9739	6	26	51	32	2013.9375	7.5	0.9054
5664	long-term outcome	-0.0351	-0.3185	9	61	121	60	2014.3333	12.3167	1.7301
5719	lung	-0.0581	0.7069	3	29	71	39	2013.6923	7.1538	0.9403
5729	lung development	0.1233	0.7544	17	14	31	16	2013.125	8.3125	1.6169
5780	lymphatic malformation	-0.0512	0.1007	3	36	53	31	2013.2581	7.8387	0.9451
5841	male	0.034	-0.9952	8	19	30	10	2012.3	8.5	0.8459
5848	malformation	-0.2311	0.3543	1	14	18	9	2011.5556	11.2222	1.1274
5851	malignancy	0.1072	0.0417	3	11	11	14	2012.6429	6.6429	0.7178
5867	malnutrition	-0.3965	-0.2825	15	10	12	6	2017.1667	0.8333	0.3126
5874	malrotation	0.4271	0.2589	10	36	78	48	2013.8333	6.625	0.9612
5933	matrix metalloproteinase	0.4944	-0.2904	4	9	13	5	2012	4.4	0.4991
5953	mechanical enterogenesis	1.4751	0.9902	10	5	35	11	2014.2727	10.1818	1.4176
5957	mechanical ventilation	-0.3489	0.3605	5	11	16	5	2017	6	2.7589
5963	meckel's diverticulum	-0.0324	-0.5648	2	10	12	8	2014.75	7	2.2673
5967	meconium ileus	0.5316	0.3342	10	8	13	6	2013.6667	13.3333	1.5874
5970	meconium peritonitis	0.3594	0.2883	10	11	11	6	2012.3333	6.1667	0.7008
5993	mediastinum	-0.6995	0.5312	3	13	13	6	2011.1667	5.5	0.6204
6065	mesenchymal hamartoma	-0.1541	0.212	11	5	5	7	2012	4.2857	0.431
6113	meta-analysis	-0.4881	0.0422	1	65	118	54	2015.1111	11.7593	1.6706
6142	metastasis	-0.213	0.1937	7	14	27	16	2014.5625	6.375	1.1626
6165	microbiome	0.379	-0.3739	14	12	15	7	2015.1429	12.8571	2.2273
6205	midgut volvulus	0.6311	0.3825	10	13	18	8	2013.75	5.125	0.7784
6229	minimal invasive surgery	-0.5459	0.1962	1	88	214	105	2013.219	10.3333	1.3635
6271	mitomycin c	-0.3516	1.1007	5	6	10	6	2013.3333	20.3333	2.3695
6333	morbidity	-0.2151	0.1072	2	47	89	33	2014.697	10.5758	1.7273
6334	morgagni hernia	-0.8156	-0.1112	14	10	23	11	2012.9091	6.8182	0.7835
6340	mortality	-0.1345	-0.2734	2	81	183	70	2014.4429	10.7714	1.5665
6359	mouse	0.5439	-0.2931	4	13	15	7	2013.1429	5.8571	0.8315
6368	mr	-0.0815	-0.3414	13	18	27	12	2013.6667	8.75	0.9732
6377	mrı	0.2792	-0.001	7	28	41	21	2013.9048	5.3333	0.6396
6506	mutation	0.357	-0.2636	1	11	13	6	2011.6667	9.1667	0.9053
6519	myelomeningocele	0.9294	0.269	7	20	70	27	2014.9259	11.4815	1.5149
6543	mıs	-0.7999	0.4972	3	9	10	5	2014.6	8.4	1.7208
6631	nec	0.2585	0.211	6	109	298	204	2014.2206	9.4951	1.5114
6637	neck	-0.0615	0.2138	3	13	14	8	2011.375	13.125	1.0878
6666	negative pressure wound therapy	-0.4064	0.0744	6	8	12	7	2013.5714	3.8571	0.4745
6676	neonatal	0.0244	0.1829	6	178	439	225	2013.3556	7.7289	0.942
6685	neonatal cholestasis	-0.8102	-0.5774	9	5	9	6	2015.6667	5	1.073
6693	neonatal intensive care	-0.0889	-0.4751	16	10	13	5	2011.2	19.2	1.7142
6720	neonatal surgery	0.0243	-0.3938	14	53	84	41	2014.4146	8.1463	1.5032
6731	neoplasm	-0.1606	-0.7121	4	7	9	5	2013.6	12.4	1.3119
6787	neurodevelopment	-0.2159	-0.3308	15	26	50	26	2014.3846	14.9231	1.8886
6801	neurogenic bladder	0.8095	-0.1468	7	9	13	9	2014.6667	5	0.6462
6802	neurogenic bladder dysfunction	0.6752	0.0396	7	7	10	5	2012	11.2	1.0879
6869	nissen fundoplication	-0.1508	0.8332	5	11	18	12	2012.3333	7.9167	0.8995
6909	non-operative management	-0.6952	-0.1605	3	31	56	35	2015.1429	10.9143	1.9485
6973	nsqıp	-0.5592	-0.2959	15	33	51	21	2017.0476	4.0952	1.0272
6990	nuss	-0.9593	0.3606	1	29	104	56	2013.9821	8.875	1.3738
6996	nutrition	0.0171	0.0209	15	22	27	12	2015.25	7.5833	0.9575
7006	nıcu	-0.2071	0.555	6	9	11	6	2017.5	1.1667	0.2002
7011	obesity	-0.613	0.0195	1	24	57	30	2014.3667	7.1333	1.033
7030	obstructive uropathy	0.4427	-0.0123	4	10	16	9	2011.6667	5.2222	0.5346
7039	octreotide	0.4178	-0.0681	11	8	15	6	2013.3333	7.3333	1.066
7094	oncology	-0.1232	0.0552	4	106	294	333	2013.5556	7.5015	0.9417
